"","fips","year","hyads"
"1","01001",1999,2.01050976630911
"2","01003",1999,1.24894528222968
"3","01005",1999,1.54541570805225
"4","01007",1999,2.23975918149715
"5","01009",1999,2.58373698450711
"6","01011",1999,1.71320962517221
"7","01013",1999,1.51770231968248
"8","01015",1999,2.29685247272051
"9","01017",1999,2.28183160046961
"10","01019",1999,2.1758612368612
"11","01021",1999,2.23452024724945
"12","01023",1999,1.60955336047634
"13","01025",1999,1.48829183023921
"14","01027",1999,2.35976607872424
"15","01029",1999,2.09309186493009
"16","01031",1999,1.32850378591547
"17","01033",1999,2.28634296815173
"18","01035",1999,1.39784602989978
"19","01037",1999,2.37204352910054
"20","01039",1999,1.27217864199332
"21","01041",1999,1.50180239069279
"22","01043",1999,2.46084301436226
"23","01045",1999,1.34844136091647
"24","01047",1999,1.78828023375945
"25","01049",1999,2.2534424931248
"26","01051",1999,2.04142707225422
"27","01053",1999,1.29697630753187
"28","01055",1999,2.37151230709241
"29","01057",1999,2.30513954949374
"30","01059",1999,2.29348872523892
"31","01061",1999,1.20939594725324
"32","01063",1999,2.27377147629669
"33","01065",1999,2.12960524267814
"34","01067",1999,1.35404873996879
"35","01069",1999,1.24147916254204
"36","01071",1999,2.2878722518915
"37","01073",1999,2.56876273712474
"38","01075",1999,2.26492051770605
"39","01077",1999,2.30797769842979
"40","01079",1999,2.39608731487148
"41","01081",1999,2.18678288297459
"42","01083",1999,2.31549752398396
"43","01085",1999,1.71859575636675
"44","01087",1999,1.92942950422415
"45","01089",1999,2.27451634703732
"46","01091",1999,1.73329590449577
"47","01093",1999,2.29280926766311
"48","01095",1999,2.31794993211382
"49","01097",1999,1.34205188678381
"50","01099",1999,1.44188058162057
"51","01101",1999,1.76026615063858
"52","01103",1999,2.37486843842535
"53","01105",1999,1.98710435555235
"54","01107",1999,2.40522040558162
"55","01109",1999,1.52286287867721
"56","01111",1999,2.18903110431171
"57","01113",1999,1.87555710844174
"58","01115",1999,2.6472385763588
"59","01117",1999,2.60935686350981
"60","01119",1999,1.9586378199787
"61","01121",1999,2.56912693246843
"62","01123",1999,2.21082679879414
"63","01125",1999,2.28065591599987
"64","01127",1999,2.40405318924068
"65","01129",1999,1.44609045974227
"66","01131",1999,1.5873576854606
"67","01133",1999,2.44730759700127
"68","04001",1999,0.277438531318966
"69","04003",1999,0.0881081701697513
"70","04005",1999,0.157838519369151
"71","04007",1999,0.149397936586415
"72","04009",1999,0.10192355666311
"73","04011",1999,0.138871612987894
"74","04012",1999,0.0879937387186059
"75","04013",1999,0.0765408496583922
"76","04015",1999,0.185242413952213
"77","04017",1999,0.22442725075168
"78","04019",1999,0.0709779019505301
"79","04021",1999,0.074636455578496
"80","04023",1999,0.081039558988811
"81","04025",1999,0.129525848991802
"82","04027",1999,0.0702941254932512
"83","05001",1999,1.41059084377637
"84","05003",1999,1.23364119725341
"85","05005",1999,1.44625169548308
"86","05007",1999,1.17459920412868
"87","05009",1999,1.26336937334322
"88","05011",1999,1.19973821213651
"89","05013",1999,1.16014889753822
"90","05015",1999,1.19084489158801
"91","05017",1999,1.28682922178739
"92","05019",1999,1.19171918578706
"93","05021",1999,2.00212304442634
"94","05023",1999,1.40885365783147
"95","05025",1999,1.21517914186295
"96","05027",1999,1.124957789982
"97","05029",1999,1.38401891088279
"98","05031",1999,1.79840376061182
"99","05033",1999,1.24560620036473
"100","05035",1999,1.84074511828669
"101","05037",1999,1.65284903375025
"102","05039",1999,1.15562758961816
"103","05041",1999,1.3797082598258
"104","05043",1999,1.29524900621984
"105","05045",1999,1.3710440248079
"106","05047",1999,1.23655577061632
"107","05049",1999,1.60030181024003
"108","05051",1999,1.21034380027707
"109","05053",1999,1.18145287386365
"110","05055",1999,1.8806966361943
"111","05057",1999,1.19999781016174
"112","05059",1999,1.16941876079115
"113","05061",1999,1.17145193064392
"114","05063",1999,1.5285141249665
"115","05065",1999,1.53248758227199
"116","05067",1999,1.56550744530484
"117","05069",1999,1.27487489116141
"118","05071",1999,1.28199502663396
"119","05073",1999,1.14101826394334
"120","05075",1999,1.68880889866621
"121","05077",1999,1.63022373091382
"122","05079",1999,1.308400512616
"123","05081",1999,1.23324515072664
"124","05083",1999,1.23253552158999
"125","05085",1999,1.34044047769658
"126","05087",1999,1.19524003558315
"127","05089",1999,1.36193533797696
"128","05091",1999,1.16499727484183
"129","05093",1999,2.0570822882371
"130","05095",1999,1.49805478938543
"131","05097",1999,1.16316134183878
"132","05099",1999,1.15599309580737
"133","05101",1999,1.22356125414538
"134","05103",1999,1.1515679175317
"135","05105",1999,1.31576151893068
"136","05107",1999,1.56461673757453
"137","05109",1999,1.16124987087068
"138","05111",1999,1.71717812031758
"139","05113",1999,1.14753461958758
"140","05115",1999,1.29499278968672
"141","05117",1999,1.43052691854817
"142","05119",1999,1.28809439735934
"143","05121",1999,1.77555406601573
"144","05123",1999,1.67086271042108
"145","05125",1999,1.25070249065124
"146","05127",1999,1.23781759268034
"147","05129",1999,1.33797580230254
"148","05131",1999,1.20912011643663
"149","05133",1999,1.23087488207002
"150","05135",1999,1.62951988650472
"151","05137",1999,1.44912884160025
"152","05139",1999,1.13637245423765
"153","05141",1999,1.41023260761298
"154","05143",1999,1.19920476024656
"155","05145",1999,1.44288324110772
"156","05147",1999,1.5250856451383
"157","05149",1999,1.25770613739133
"158","06001",1999,0.0245868877515676
"159","06003",1999,0.0218126655543681
"160","06005",1999,0.0236571457520987
"161","06007",1999,0.0212245107910115
"162","06009",1999,0.0245421277508685
"163","06011",1999,0.0247282944893232
